[2026-09-22 15:07:19.557] [debug] [serialport] event=serialport.packet status=success boardName=board1 length=10 message="[RAW:ENC:HASTE_ENC:4233a5c94605f14d76c3f37e:121f3f87a7daf81616083cbf2756c5e7:6a28774b8a883969c2a450c991338d95d321a40892fed490f599ba42daa2f6a3]"
[2026-09-22 15:07:19.678] [debug] [serialport] event=serialport.packet status=success boardName=board1 length=10 message="[RAW:ENC:HASTE_ENC:fb18c79ccf830bcdb36fc960:8b65dd248720c84839040870d081cec2:4fca8de85e5a175601d445c8f283cdb68ef9cbef24ea5d27ef4fc7a6baf97d27]"
[2026-09-22 15:07:19.861] [debug] [serialport] event=serialport.packet status=success boardName=board1 length=10 message="[RAW:ENC:HASTE_ENC:af3b3475779736ee30c5bbca:dcbabc652b4e9582a18d3f503f9b49d8:efac344f33b02b0f17159185697ae5d8a676e91b26bd47bde86f8adcf26a335d]"
[2026-09-22 15:07:19.928] [debug] [serialport] event=serialport.packet status=success boardName=board1 length=10 message="[RAW:ENC:HASTE_ENC:5ddbe1ac1d4e8c694a2070e0:e9a03d8558664c069cc9ebca072a543d:e4ce5148cb01a6777207b351a6e5238f414436f2478da52d05d0791b9ac27d40]"
[2026-09-22 15:07:19.997] [debug] [serialport] event=serialport.packet status=success boardName=board1 length=10 message="[RAW:ENC:HASTE_ENC:3e2eb0abff5c50175f3390f4:419128013feebc410e365d9892f6dc6a:3114cb131b87cbaebf8b2367758f8bc92e7e6e1c4b26a3a8e789f2b7728413dc]"
[2026-09-22 15:07:20.106] [debug] [serialport] event=serialport.packet status=success boardName=board1 length=10 message="[RAW:ENC:HASTE_ENC:38c090ac184dfd630a870fdb:5a778506e0a4f6b69de8c6a50727a400:c411c5b02eacc5e3d8b5c39c3e8f8dbc0314bde96f4452cb9d440fe535030a34]"
[2026-09-22 15:07:20.225] [debug] [serialport] event=serialport.packet status=success boardName=board1 length=10 message="[RAW:ENC:HASTE_ENC:d7c2a99092fc4c3a2b0bd19f:37e6740ec02b9e7326e561d17e281c76:663b5a306065d8f4939ed478e700bb3b6683901b904a09f433fb87078564c455]"
[2026-09-22 15:07:20.333] [debug] [serialport] event=serialport.packet status=success boardName=board1 length=10 message="[RAW:ENC:HASTE_ENC:dd5bf78f0c0900400c5f03ca:18d9f0ed0188bd65ffdfbe4093004a6c:d83f45e5541e5a46e14d8d49838aaea2b9de74df8be65a5625e75c69871dd0fa]"
[2026-09-22 15:07:20.439] [debug] [serialport] event=serialport.packet status=success boardName=board1 length=10 message="[RAW:ENC:HASTE_ENC:42b57d623a992af83639efb4:da3d65ddc4d9504005ef0a94786904fc:93367d9f3a3fc7e7bf5529ddaab2c624addab3292a083e1d6ab79190e6718b15]"
[2026-09-22 15:07:20.557] [debug] [serialport] event=serialport.packet status=success boardName=board1 length=10 message="[RAW:ENC:HASTE_ENC:608d4a964774c3d3751843bc:839aa47edeebdd3130e01c31f73dc447:ca2c772d773309697b0d0db8ec78f26e4abe48daa50260b74b787f890c21e4f8]"
[2026-09-22 15:07:20.665] [debug] [serialport] event=serialport.packet status=success boardName=board1 length=10 message="[RAW:ENC:HASTE_ENC:e6c05951180847e898c572c2:878ec3a8832127ea0b5f8a775fb1dc7a:e74a71dabaa41b04adbd77a001862628e16567fec1a409fd14c33d5cdbae1365]"
[2026-09-22 15:07:20.778] [debug] [serialport] event=serialport.packet status=success boardName=board1 length=10 message="[RAW:ENC:HASTE_ENC:5d86baac35bf0d084ca22387:129630cb2153caf43296dbe9ebfaa4a4:a8a6afeb528bf111d56db6d38e005d3a8b5af672a3a2bfd0871dce30352712c8]"
